Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Style;Taylor Swift;1;2014;1;1;7830;786;95
Style;Taylor Swift;1;2014;1;1;7830;786;95
favorite crime;Olivia Rodrigo;1;2021;5;21;3681;784;173
DESPECH?;ROSAL?;1;2022;7;28;7613;782;130
DESPECH?;ROSAL?;1;2022;7;28;7613;782;130
Bored;Billie Eilish;1;2017;3;30;4204;778;120
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Julieta Venegas, Bad Bunny, Tainy;3;2021;10;5;3423;776;170
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Julieta Venegas, Bad Bunny, Tainy;3;2021;10;5;3423;776;170
Rockin  Around The Christmas Tree;Brenda Lee;1;1958;1;1;14994;769;140
Rockin  Around The Christmas Tree;Brenda Lee;1;1958;1;1;14994;769;140
La Santa;Daddy Yankee, Bad Bunny;2;2020;2;29;4890;759;93
Bam Bam (feat. Ed Sheeran);Camila Cabello, Ed Sheeran;2;2022;3;4;6111;757;95
golden hour;JVKE;1;2022;7;15;4511;751;94
golden hour;JVKE;1;2022;7;15;4511;751;94
Late Night Talking;Harry Styles;1;2022;5;20;7461;744;115
Late Night Talking;Harry Styles;1;2022;5;20;7461;744;115
Jingle Bell Rock;Bobby Helms;1;1957;1;1;10326;741;119
Jingle Bell Rock;Bobby Helms;1;1957;1;1;10326;741;119
love nwantiti (ah ah ah);Ckay;1;2019;7;26;5669;727;93
love nwantiti (ah ah ah);Ckay;1;2019;7;26;5669;727;93
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;3090;726;148
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;3090;726;148
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;3090;726;148
SNAP;Rosa Linn;1;2022;3;19;3202;726;170
Until I Found You;Stephen Sanchez;1;2021;9;1;4427;726;202
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;3090;726;148
SNAP;Rosa Linn;1;2022;3;19;3202;726;170
Until I Found You;Stephen Sanchez;1;2021;9;1;4427;726;202
About Damn Time;Lizzo;1;2022;7;15;2332;724;109
About Damn Time;Lizzo;1;2022;7;15;2332;724;109
About Damn Time;Lizzo;1;2022;4;14;9021;724;109
we fell in love in october;girl in red;1;2018;11;21;6858;723;130
Shakira: Bzrp Music Sessions, Vol. 53;Shakira, Bizarrap;2;2023;1;11;5724;722;122
Shakira: Bzrp Music Sessions, Vol. 53;Shakira, Bizarrap;2;2023;1;11;5724;722;122
Qu?? M??;J Balvin, Maria Becerra;2;2021;1;28;8087;721;102
Left and Right (Feat. Jung Kook of BTS);Charlie Puth, BTS, Jung Kook;3;2022;6;24;3107;720;101
Left and Right (Feat. Jung Kook of BTS);Charlie Puth, BTS, Jung Kook;3;2022;6;24;3107;720;101
MAMIII;Karol G, Becky G;2;2022;2;10;6809;717;94
SNAP;Rosa Linn;1;2022;3;19;1818;711;170
I Was Never There;The Weeknd, Gesaffelstein;2;2018;3;29;4188;705;114
I Was Never There;The Weeknd, Gesaffelstein;2;2018;3;29;4188;705;114
Master of Puppets (Remastered);Metallica;1;1986;3;3;6080;704;105
